Song_ID,Song_Name,Artist,Genre,Sub_Genre,Tempo_BPM,Energy_Score,Danceability_Score,Valence_Score,Acousticness_Score,Instrumentalness_Score,Popularity_Score,Loudness_dB,Speechiness_Score,Liveness_Score,Duration_MS,Release_Year,Language,Sentiment_Label,Mood,Era
S000001,Song_1,Max Richter,Pop,Synthpop,126,68,54,60,52,12,40,-22,82,86,177498,1973,Japanese,Neutral,Peaceful,70s
S000002,Song_2,Swedish House Mafia,Country,Country Pop,77,61,41,29,33,48,57,-59,63,59,325796,1982,Spanish,Neutral,Peaceful,80s
S000003,Song_3,The Lumineers,Rock,Progressive Rock,150,61,83,58,34,31,61,-33,59,79,155725,2011,German,Neutral,Peaceful,2010s
S000004,Song_4,The Weeknd,R&B,Funk,121,83,42,20,46,11,92,-22,17,3,360936,2009,Italian,Angry,Aggressive,2000s
S000005,Song_5,Herbie Hancock,Afro,Afrohouse,88,89,48,83,35,6,79,-54,43,7,196530,1985,Spanish,Euphoric,Ecstatic,80s
S000006,Song_6,John Coltrane,Country,Outlaw Country,124,79,43,53,11,10,23,-7,92,62,292283,1983,Italian,Neutral,Peaceful,80s
S000007,Song_7,Tiwa Savage,Latin,Salsa,148,75,53,71,40,19,97,-38,61,39,310884,2002,English,Happy,Joyful,2000s
S000008,Song_8,SZA,Pop,Electropop,98,65,64,40,69,49,48,-46,44,64,138984,2020,Portuguese,Neutral,Peaceful,2020s
S000009,Song_9,Imagine Dragons,Classical,Romantic,48,33,5,87,81,67,82,-50,80,7,103986,1984,Hindi,Romantic,Passionate,80s
S000010,Song_10,Martin Garrix,Pop,Latin Pop,107,44,81,27,48,45,26,-52,71,11,404400,1997,German,Sad,Melancholic,90s
S000011,Song_11,Ella Fitzgerald,Afro,Afrohouse,97,63,76,85,44,48,54,-60,98,100,229182,1952,Japanese,Neutral,Peaceful,50s-Early
S000012,Song_12,Tiwa Savage,Afro,Afrobeats,75,44,65,26,64,18,28,-46,14,89,212409,2000,Italian,Sad,Melancholic,2000s
S000013,Song_13,Red Hot Chili Peppers,Classical,Baroque,102,41,36,100,73,89,42,-22,14,42,340396,1985,German,Romantic,Passionate,80s
S000014,Song_14,Nas,Jazz,Bebop,87,71,46,27,68,26,85,-19,44,61,199556,1955,Hindi,Neutral,Peaceful,50s-Early
S000015,Song_15,Eminem,Jazz,Smooth Jazz,102,67,83,29,53,24,81,-50,91,88,134262,2011,Italian,Neutral,Peaceful,2010s
S000016,Song_16,Megan Thee Stallion,Jazz,Fusion,75,66,52,69,50,7,91,-34,8,61,355892,2000,Arabic,Happy,Joyful,2000s
S000017,Song_17,Shakira,Electronic,Techno,119,81,83,95,36,44,71,-12,61,57,283075,1961,English,Euphoric,Ecstatic,60s
S000018,Song_18,Zac Brown Band,Metal,Heavy Metal,158,81,22,55,16,41,100,-12,1,1,202859,2003,Italian,Energetic,Powerful,2000s
S000019,Song_19,Zac Brown Band,Latin,Reggaeton,75,58,41,89,62,48,51,-55,31,67,273734,2005,Korean,Neutral,Peaceful,2000s
S000020,Song_20,Calvin Harris,R&B,Alternative R&B,91,77,63,69,14,38,30,-13,15,96,176202,2019,Spanish,Happy,Joyful,2010s
S000021,Song_21,Daft Punk,Rock,Indie Rock,154,68,42,18,29,40,86,-42,19,95,304835,1982,Portuguese,Neutral,Peaceful,80s
S000022,Song_22,Ludovico Einaudi,Pop,Electropop,114,78,57,10,49,5,76,-36,49,22,374062,1991,German,Angry,Aggressive,90s
S000023,Song_23,Camila Cabello,Pop,Latin Pop,81,55,65,0,57,6,67,-49,68,36,381999,1958,Arabic,Neutral,Peaceful,50s-Early
S000024,Song_24,Linkin Park,Rock,Classic Rock,93,87,55,23,12,24,73,-5,32,23,233946,2021,Hindi,Angry,Aggressive,2020s
S000025,Song_25,Beethoven,Jazz,Fusion,110,77,79,88,29,39,44,-32,17,81,167505,2003,Spanish,Euphoric,Ecstatic,2000s
S000026,Song_26,Duke Ellington,Jazz,Avant-Garde Jazz,109,55,80,67,45,37,52,-47,20,47,225059,1957,Portuguese,Neutral,Peaceful,50s-Early
S000027,Song_27,Olivia Rodrigo,Latin,Reggaeton,81,42,56,58,42,16,41,-15,29,37,137333,2000,Arabic,Neutral,Peaceful,2000s
S000028,Song_28,Burna Boy,Rock,Hard Rock,128,47,66,20,36,38,49,-28,27,63,226672,2018,Italian,Neutral,Peaceful,2010s
